person_id,seat_id,full_name,date_demission,phrase,assnat_url
4051,laprairie,denis lazure,1996-01-08,rsonnes handicapées du 20 septembre 1995 au 8 janvier 1996. Démissionna le 8 janvier 1996. Président-directeur général,/fr/deputes/lazure-denis-4051/index.html
2991,jonquiere,francis dufour,1996-01-15,ay–Lac-Saint-Jean du 26 septembre 1994 au 15 janvier 1996. Démissionna le 15 janvier 1996 pour permettre au premier min,/fr/deputes/dufour-francis-2991/index.html
4781,lassomption,jacques parizeau,1996-01-29,ionner comme député et premier ministre le 31 octobre 1995. Démissionna le 29 janvier 1996. Chroniqueur invité au Journa,/fr/deputes/parizeau-jacques-4781/index.html
4699,prevost,daniel paille,1996-11-19,e cabinet Parizeau du 26 septembre 1994 au 29 janvier 1996. Démissionna comme député le 19 novembre 1996. Vice-président et chef de la,/fr/deputes/paille-daniel-4699/index.html
2519,bourassa,yvon charbonneau,1997-05-02,ssion de l'Éducation du 1 er décembre 1994 au 8 avril 1997. Démissionna le 2 mai 1997 pour se porter candidat aux é,/fr/deputes/charbonneau-yvon-2519/index.html
2911,kamouraskatemiscouata,france dionne,1997-05-02,au ministre des Finances du 19 janvier au 24 juillet 1994. Démissionna comme députée le 2 mai 1997 pour se présenter candidate a,/fr/deputes/dionne-france-2911/index.html
2191,jonquiere,lucien bouchard,2001-03-08,e à l'élection partielle du 19 février 1996. Réélu en 1998. Démissionna le 8 mars 2001. Retourna à la pratique privé,/fr/deputes/bouchard-lucien-2191/index.html
4175,labelle,jacques leonard,2001-03-08,à la Fonction publique du 15 décembre 1998 au 8 mars 2001. Démissionna le 8 mars 2001. Associé au cabinet de compta,/fr/deputes/leonard-jacques-4175/index.html
5363,blainville,celine signori,2001-06-27,"du Parti québécois dans Blainville en 1994. Réélue en 1998. Démissionna le 27 juin 2001, date de sa nomination en tan",/fr/deputes/signori-celine-5363/index.html
3317,saguenay,gabrielyvan gagnon,2001-09-16,de l'Environnement du 28 janvier 1999 au 16 septembre 2001. Démissionna le 16 septembre 2001. Commissaire industriel à la,/fr/deputes/gagnon-gabriel-yvan-3317/index.html
3929,anjou,jeansebastien lamoureux,2001-09-25,et en 1997. Élu député du Parti libéral dans Anjou en 1998. Démissionna le 25 septembre 2001. Retourna à la pratique du dr,/fr/deputes/lamoureux-jean-sebastien-3929/index.html
4273,viger,cosmo maciocia,2001-11-13,"iculture, des pêcheries et de l'alimentation du 4 mars 1999 au 13 novembre 2001, date de sa démission comme député. Élu conseiller du district M",/fr/deputes/maciocia-cosmo-4273/index.html
5093,matane,matthias rioux,2003-03-05,"e la Commission de l'économie et du travail du 27 mars 2001 au 5 mars 2003, date de sa démission comme député. Membre de la Commission muni",/fr/deputes/rioux-matthias-5093/index.html
5759,nelligan,russell williams,2004-03-09,"ministre de la Santé et des Services sociaux du 21 mai 2003 au 9 mars 2004, date de sa démission comme député. Président de Rx&D - Les Comp",/fr/deputes/williams-russell-5759/index.html
5337,outremont,yves seguin,2005-05-25,Ministre des Finances du 29 avril 2003 au 18 février 2005. Démissionna à titre de député le 25 mai 2005. Professeur invité au Départe,/fr/deputes/seguin-yves-5337/index.html
2223,saintemariesaintjacques,andre boulerice,2005-09-14,"ice-président de la Commission de la culture du 6 juin 2003 au 14 septembre 2005, date de sa démission comme député. Fait officier de l'Ordre de",/fr/deputes/boulerice-andre-2223/index.html
79,taillon,pauline marois,2006-03-20,Candidate défaite à la direction du PQ le 15 novembre 2005. Démissionna comme députée le 20 mars 2006. Devint chef du PQ le 26 juin,/fr/deputes/marois-pauline-79/index.html
2513,borduas,jeanpierre charbonneau,2006-11-15,"ture, des pêcheries et de l'alimentation du 3 novembre 2004 au 15 novembre 2006, date de sa démission comme député. Fut ensuite analyste politiq",/fr/deputes/charbonneau-jean-pierre-2513/index.html
5823,chambly,diane legault,2006-11-15,r de l'Université de Montréal du 28 février au 8 mars 2005. Démissionna comme députée le 15 novembre 2006. Devint présidente de l'Ordre,/fr/deputes/legault-diane-5823/index.html
4157,bourget,diane lemieux,2007-10-17,du deuxième groupe d'opposition du 4 avril au 27 août 2007. Démissionna comme députée le 17 octobre 2007. Vice-présidente au développe,/fr/deputes/lemieux-diane-4157/index.html
