person_id,full_name,circonscription,seat_id,party_id,assnat_url
17823,"Dufour, Pierre",Abitibi-Est,abitibiest,IND,/fr/deputes/dufour-pierre-17823/
17825,"Blais, Suzanne",Abitibi-Ouest,abitibiouest,CAQ,/fr/deputes/blais-suzanne-17825/
19253,"Morin, André Albert",Acadie,acadie,PLQ,/fr/deputes/morin-andre-albert-19253/
19255,"Boivin Roy, Karine",Anjou–Louis-Riel,anjoulouisriel,CAQ,/fr/deputes/boivin-roy-karine-19255/
17827,"Grondin, Agnès",Argenteuil,argenteuil,CAQ,/fr/deputes/grondin-agnes-17827/
20141,"Boissonneault, Alex",Arthabaska,arthabaska,PQ,/fr/deputes/boissonneault-alex-20141/
17829,"Provençal, Luc",Beauce-Nord,beaucenord,CAQ,/fr/deputes/provencal-luc-17829/
17831,"Poulin, Samuel",Beauce-Sud,beaucesud,CAQ,/fr/deputes/poulin-samuel-17831/
17833,"Reid, Claude",Beauharnois,beauharnois,CAQ,/fr/deputes/reid-claude-17833/
17835,"Lachance, Stéphanie",Bellechasse,bellechasse,CAQ,/fr/deputes/lachance-stephanie-17835/
17837,"Proulx, Caroline",Berthier,berthier,CAQ,/fr/deputes/proulx-caroline-17837/
19257,"Duranceau, France-Élaine",Bertrand,bertrand,CAQ,/fr/deputes/duranceau-france-elaine-19257/
15357,"Laframboise, Mario",Blainville,blainville,CAQ,/fr/deputes/laframboise-mario-15357/
19251,"Blouin, Catherine",Bonaventure,bonaventure,CAQ,/fr/deputes/blouin-catherine-19251/
15359,"Jolin-Barrette, Simon",Borduas,borduas,CAQ,/fr/deputes/jolin-barrette-simon-15359/
19261,"Cadet, Madwa-Nika",Bourassa-Sauvé,bourassasauve,PLQ,/fr/deputes/cadet-madwa-nika-19261/
17845,"Charest, Isabelle",Brome-Missisquoi,bromemissisquoi,CAQ,/fr/deputes/charest-isabelle-17845/
19289,"St-Pierre Plamondon, Paul",Camille-Laurin,camillelaurin,PQ,/fr/deputes/st-pierre-plamondon-paul-19289/
15361,"Roberge, Jean-François",Chambly,chambly,CAQ,/fr/deputes/roberge-jean-francois-15361/
17847,"LeBel, Sonia",Champlain,champlain,CAQ,/fr/deputes/lebel-sonia-17847/
17851,"Lévesque, Mathieu",Chapleau,chapleau,CAQ,/fr/deputes/levesque-mathieu-17851/
17855,"Julien, Jonatan",Charlesbourg,charlesbourg,CAQ,/fr/deputes/julien-jonatan-17855/
19291,"Bourassa, Kariane",Charlevoix–Côte-de-Beaupré,charlevoixcotedebeaupre,CAQ,/fr/deputes/bourassa-kariane-19291/
19293,"Gendron, Marie-Belle",Châteauguay,chateauguay,CAQ,/fr/deputes/gendron-marie-belle-19293/
12213,"Lévesque, Sylvain",Chauveau,chauveau,CAQ,/fr/deputes/levesque-sylvain-12213/
20193,"Laflamme, Marie-Karlynn",Chicoutimi,chicoutimi,PQ,/fr/deputes/laflamme-marie-karlynn-20193/
19295,"Lakhoyan Olivier, Sona",Chomedey,chomedey,IND,/fr/deputes/lakhoyan-olivier-sona-19295/
19297,"Biron, Martine",Chutes-de-la-Chaudière,chutesdelachaudiere,CAQ,/fr/deputes/biron-martine-19297/
19299,"Rivest, Mathieu",Côte-du-Sud,cotedusud,CAQ,/fr/deputes/rivest-mathieu-19299/
19301,"Prass, Elisabeth",D'Arcy-McGee,darcymcgee,PLQ,/fr/deputes/prass-elisabeth-19301/
195,"Charette, Benoit",Deux-Montagnes,deuxmontagnes,CAQ,/fr/deputes/charette-benoit-195/
5909,"Schneeberger, Sébastien",Drummond–Bois-Francs,drummondboisfrancs,CAQ,/fr/deputes/schneeberger-sebastien-5909/
17917,"Tremblay, François",Dubuc,dubuc,IND,/fr/deputes/tremblay-francois-17917/
19303,"Champagne Jourdain, Kateri",Duplessis,duplessis,CAQ,/fr/deputes/champagne-jourdain-kateri-19303/
19315,"Abou-Khalil, Alice",Fabre,fabre,CAQ,/fr/deputes/abou-khalil-alice-19315/
19319,"Sainte-Croix, Stéphane",Gaspé,gaspe,CAQ,/fr/deputes/sainte-croix-stephane-19319/
17921,"Bussière, Robert",Gatineau,gatineau,CAQ,/fr/deputes/bussiere-robert-17921/
16827,"Nadeau-Dubois, Gabriel",Gouin,gouin,QS,/fr/deputes/nadeau-dubois-gabriel-16827/
11,"Bonnardel, François",Granby,granby,CAQ,/fr/deputes/bonnardel-francois-11/
17929,"Girard, Eric",Groulx,groulx,CAQ,/fr/deputes/girard-eric-17929/
17935,"Leduc, Alexandre",Hochelaga-Maisonneuve,hochelagamaisonneuve,QS,/fr/deputes/leduc-alexandre-17935/
