seat_id,seat,annee,partielle,full_name,party_id,person_id,remarque
abitibi,Abitibi,1923,0,"PERRAULT, Joseph-Édouard",PLQ,4841,démissionne 27-09-1923. Voir Arthabaska
abitibi,Abitibi,1923,1,"AUTHIER, Hector",PLQ,1795,
abitibi,Abitibi,1927,0,"AUTHIER, Hector",PLQ,1795,
abitibi,Abitibi,1931,0,"AUTHIER, Hector",PLQ,1795,
abitibi,Abitibi,1935,0,"AUTHIER, Hector",PLQ,1795,ne s'est pas représenté en 1936
abitibi,Abitibi,1936,0,"LESAGE, Émile",UN,4179,défait en 1939. Voir Abitibi-Ouest
abitibi,Abitibi,1939,0,"ALLARD, Félix",PLQ,1725,nommé juge le 27-06-1944
abitibiest,Abitibi-Est,1944,0,"DROUIN, Henri",PLQ,2955,défait en 1948
abitibiest,Abitibi-Est,1948,0,"MIQUELON, Jacques",UN,4507,
abitibiest,Abitibi-Est,1952,0,"MIQUELON, Jacques",UN,4507,
abitibiest,Abitibi-Est,1956,0,"MIQUELON, Jacques",UN,4507,défait en 1960
abitibiest,Abitibi-Est,1960,0,"CLICHE, Lucien",PLQ,2597,
abitibiest,Abitibi-Est,1962,0,"CLICHE, Lucien",PLQ,2597,
abitibiest,Abitibi-Est,1966,0,"CLICHE, Lucien",PLQ,2597,ne s'est pas représenté en 1970
abitibiest,Abitibi-Est,1970,0,"TÉTRAULT, Ronald",RC,5521,défait en 1973
abitibiest,Abitibi-Est,1973,0,"HOUDE, Roger",PLQ,3669,ne s'est pas représenté en 1976
abitibiest,Abitibi-Est,1976,0,"BORDELEAU, Jean-Paul",PQ,2177,
abitibiest,Abitibi-Est,1981,0,"BORDELEAU, Jean-Paul",PQ,2177,défait en 1985
abitibiest,Abitibi-Est,1985,0,"SAVOIE, Raymond",PLQ,5317,
abitibiest,Abitibi-Est,1989,0,"SAVOIE, Raymond",PLQ,5317,ne s'est pas représenté en 1994
abitibiest,Abitibi-Est,1994,0,"PELLETIER, André (PQ)",PQ,,
abitibiest,Abitibi-Est,1998,0,"PELLETIER, André (PQ)",PQ,,ne s'est pas représenté en 2003
abitibiest,Abitibi-Est,2003,0,"CORBEIL, Pierre",PLQ,1107,défait en 2007
abitibiest,Abitibi-Est,2007,0,"WAWANOLOATH, Alexis",PQ,5915,défait en 2008
abitibiest,Abitibi-Est,2008,0,"CORBEIL, Pierre",PLQ,1107,défait en 2012
abitibiest,Abitibi-Est,2012,0,"LAROUCHE, Élizabeth",PQ,12243,défaite en 2014
abitibiest,Abitibi-Est,2014,0,"BOURGEOIS, Guy",PLQ,15353,défait en 2018
abitibiest,Abitibi-Est,2018,0,"DUFOUR, Pierre",CAQ,17823,
abitibiest,Abitibi-Est,2022,0,"DUFOUR, Pierre",CAQ,17823,
abitibiouest,Abitibi-Ouest,1944,0,"LESAGE, Émile",UN,4179,
abitibiouest,Abitibi-Ouest,1948,0,"LESAGE, Émile",UN,4179,
abitibiouest,Abitibi-Ouest,1952,0,"LESAGE, Émile",UN,4179,défait en 1956
abitibiouest,Abitibi-Ouest,1956,0,"COURCY, Alcide",PLQ,2691,
abitibiouest,Abitibi-Ouest,1960,0,"COURCY, Alcide",PLQ,2691,
abitibiouest,Abitibi-Ouest,1962,0,"COURCY, Alcide",PLQ,2691,
abitibiouest,Abitibi-Ouest,1966,0,"COURCY, Alcide",PLQ,2691,défait en 1970
abitibiouest,Abitibi-Ouest,1970,0,"AUDET, Aurèle",RC,1779,défait en 1973
abitibiouest,Abitibi-Ouest,1973,0,"BOUTIN, Jean-Hugues",PLQ,2257,défait en 1976
abitibiouest,Abitibi-Ouest,1976,0,"GENDRON, François",PQ,1423,
abitibiouest,Abitibi-Ouest,1981,0,"GENDRON, François",PQ,1423,
abitibiouest,Abitibi-Ouest,1985,0,"GENDRON, François",PQ,1423,
abitibiouest,Abitibi-Ouest,1989,0,"GENDRON, François",PQ,1423,
abitibiouest,Abitibi-Ouest,1994,0,"GENDRON, François",PQ,1423,
abitibiouest,Abitibi-Ouest,1998,0,"GENDRON, François",PQ,1423,
abitibiouest,Abitibi-Ouest,2003,0,"GENDRON, François",PQ,1423,
abitibiouest,Abitibi-Ouest,2007,0,"GENDRON, François",PQ,1423,
abitibiouest,Abitibi-Ouest,2008,0,"GENDRON, François",PQ,1423,
abitibiouest,Abitibi-Ouest,2012,0,"GENDRON, François",PQ,1423,
abitibiouest,Abitibi-Ouest,2014,0,"GENDRON, François",PQ,1423,ne s'est pas représenté en 2018
abitibiouest,Abitibi-Ouest,2018,0,"BLAIS, Suzanne",CAQ,17825,
abitibiouest,Abitibi-Ouest,2022,0,"BLAIS, Suzanne",CAQ,17825,
acadie,Acadie,1989,0,"BORDELEAU, Yvan",PLQ,2179,
acadie,Acadie,1994,0,"BORDELEAU, Yvan",PLQ,2179,
acadie,Acadie,1998,0,"BORDELEAU, Yvan",PLQ,2179,
acadie,Acadie,2003,0,"BORDELEAU, Yvan",PLQ,2179,ne s'est pas représenté en 2007
acadie,Acadie,2007,0,"ST-PIERRE, Christine",PLQ,1235,
acadie,Acadie,2008,0,"ST-PIERRE, Christine",PLQ,1235,
acadie,Acadie,2012,0,"ST-PIERRE, Christine",PLQ,1235,
acadie,Acadie,2014,0,"ST-PIERRE, Christine",PLQ,1235,
acadie,Acadie,2018,0,"ST-PIERRE, Christine",PLQ,1235,
acadie,Acadie,2022,0,"MORIN, André A.",PLQ,19253,
ahuntsic,Ahuntsic,1966,0,"LEFEBVRE, Jean-Paul",PLQ,4123,ne s'est pas représenté en 1970
ahuntsic,Ahuntsic,1970,0,"CLOUTIER, François",PLQ,2603,voir L'Acadie
anjou,Anjou,1973,0,"TARDIF, Yves",PLQ,5465,défait en 1976
anjou,Anjou,1976,0,"JOHNSON, Pierre Marc",PQ,3721,
anjou,Anjou,1981,0,"JOHNSON, Pierre Marc",PQ,3721,
anjou,Anjou,1985,0,"JOHNSON, Pierre Marc",PQ,3721,démissionne le 10-11-1987
anjou,Anjou,1988,1,"LAROUCHE, René Serge",PLQ,4013,
anjou,Anjou,1989,0,"LAROUCHE, René Serge",PLQ,4013,démissionne le 19-06-1991
anjou,Anjou,1992,1,"BÉLANGER, Pierre",PQ,1977,
anjou,Anjou,1994,0,"BÉLANGER, Pierre",PQ,1977,défait en 1998
anjou,Anjou,1998,0,"LAMOUREUX, Jean-Sébastien",PLQ,3929,démissionne le 25-09-2001
anjou,Anjou,2002,1,"THÉRIAULT, Lise",PLQ,1355,
