election_date,election_type,election_code,seat_id,candidate_name,party_abbrev,party_id,votes,vote_share,rank,elected,lead_votes,person_id,valid_votes,registered_voters,turnout,source
2022-10-03,general,gen2022-10-03,abitibiest,Pierre Dufour,C.A.Q.-E.F.L.,CAQ,9762,47.17,1,true,6718,17823,20695,33723,62.57,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,abitibiest,Jean-Maurice Matte,P.L.Q./Q.L.P.,PLQ,3044,14.71,2,false,,,20695,33723,62.57,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,abitibiest,Benjamin Gingras,Q.S.,QS,2838,13.71,3,false,,,20695,33723,62.57,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,abitibiest,Jacline Rouleau,P.Q.,PQ,2565,12.39,4,false,,,20695,33723,62.57,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,abitibiest,Maxym Perron-Tellier,P.C.Q-E.E.D.,PCQ,2486,12.01,5,false,,,20695,33723,62.57,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,abitibiouest,Suzanne Blais,C.A.Q.-E.F.L.,CAQ,10399,46.75,1,true,5780,17825,22246,35424,63.7,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,abitibiouest,Samuel Doré,P.Q.,PQ,4619,20.76,2,false,,,22246,35424,63.7,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,abitibiouest,Alexis Lapierre,Q.S.,QS,3623,16.29,3,false,,,22246,35424,63.7,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,abitibiouest,François Vigneault,P.C.Q-E.E.D.,PCQ,2293,10.31,4,false,,,22246,35424,63.7,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,abitibiouest,Guy Bourgeois,P.L.Q./Q.L.P.,PLQ,1153,5.18,5,false,,,22246,35424,63.7,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,abitibiouest,Jonathan Blanchette,U.N.,,159,0.71,6,false,,,22246,35424,63.7,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,acadie,André A. Morin,P.L.Q./Q.L.P.,PLQ,10981,42.26,1,true,6513,19253,25984,49427,53.45,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,acadie,Elyse Lévesque,Q.S.,QS,4468,17.2,2,false,,,25984,49427,53.45,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,acadie,Rosmeri Otoya Celis,C.A.Q.-E.F.L.,CAQ,4446,17.11,3,false,,,25984,49427,53.45,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,acadie,Stéphanie Gentile,P.C.Q-E.E.D.,PCQ,2955,11.37,4,false,,,25984,49427,53.45,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,acadie,Véronique Lecours,P.Q.,PQ,2565,9.87,5,false,,,25984,49427,53.45,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,acadie,Roula Al Nseir,P.V.Q./G.P.Q.,,569,2.19,6,false,,,25984,49427,53.45,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,anjoulouisriel,Karine Boivin Roy,C.A.Q.-E.F.L.,CAQ,9376,35.56,1,true,1331,19255,26363,41956,63.85,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,anjoulouisriel,Chantal Gagnon,P.L.Q./Q.L.P.,PLQ,8045,30.52,2,false,,,26363,41956,63.85,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,anjoulouisriel,Laurence Pageau,Q.S.,QS,3893,14.77,3,false,,,26363,41956,63.85,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,anjoulouisriel,Yastene Adda,P.Q.,PQ,2910,11.04,4,false,,,26363,41956,63.85,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,anjoulouisriel,Genevieve Deneault,P.C.Q-E.E.D.,PCQ,1887,7.16,5,false,,,26363,41956,63.85,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,anjoulouisriel,Claude Gélinas,C.Q.,,203,0.77,6,false,,,26363,41956,63.85,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,anjoulouisriel,Katy LeRougetel,Ind,,49,0.19,7,false,,,26363,41956,63.85,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,argenteuil,Agnès Grondin,C.A.Q.-E.F.L.,CAQ,14725,45.1,1,true,9434,17827,32649,51647,64.17,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,argenteuil,François Girard,P.Q.,PQ,5291,16.21,2,false,,,32649,51647,64.17,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,argenteuil,Karim Elayoubi,P.C.Q-E.E.D.,PCQ,4807,14.72,3,false,,,32649,51647,64.17,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,argenteuil,Marcel Lachaine,Q.S.,QS,3523,10.79,4,false,,,32649,51647,64.17,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,argenteuil,Philippe LeBel,P.L.Q./Q.L.P.,PLQ,3325,10.18,5,false,,,32649,51647,64.17,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,argenteuil,Jean Lalonde,P.C.Q./C.P.Q,PCQ,436,1.34,6,false,,,32649,51647,64.17,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,argenteuil,Luis Alvarez,P.V.Q./G.P.Q.,,429,1.31,7,false,,,32649,51647,64.17,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,argenteuil,Marie-Eve Milot,D.D.,,113,0.35,8,false,,,32649,51647,64.17,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,arthabaska,Eric Lefebvre,C.A.Q.-E.F.L.,CAQ,23447,51.75,1,true,12260,16777,45309,62120,74.1,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,arthabaska,Tarek Henoud,P.C.Q-E.E.D.,PCQ,11187,24.69,2,false,,,45309,62120,74.1,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,arthabaska,Mario Beauchesne,P.Q.,PQ,4538,10.02,3,false,,,45309,62120,74.1,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,arthabaska,Pascale Fortin,Q.S.,QS,4179,9.22,4,false,,,45309,62120,74.1,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,arthabaska,Luciana Arantes,P.L.Q./Q.L.P.,PLQ,1702,3.76,5,false,,,45309,62120,74.1,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,arthabaska,Trystan Martel,C.Q.,,256,0.57,6,false,,,45309,62120,74.1,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,beaucenord,Luc Provençal,C.A.Q.-E.F.L.,CAQ,14590,43.43,1,true,202,17829,33591,44093,77.03,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,beaucenord,Olivier Dumais,P.C.Q-E.E.D.,PCQ,14388,42.83,2,false,,,33591,44093,77.03,dgeq_donnees_ouvertes
2022-10-03,general,gen2022-10-03,beaucenord,Paméla Lavoie-Savard,P.Q.,PQ,1994,5.94,3,false,,,33591,44093,77.03,dgeq_donnees_ouvertes
