person_id,seat_id,party_id,parliamentary_status,date_start,date_end,start_reason,end_reason,source,confidence
17941,maskinonge,CAQ,group,2018-10-01,2022-08-28,election,dissolution,members_historic_qc,verified
17941,maskinonge,CAQ,group,2022-10-03,2026-10-05,election,dissolution,members_historic_qc,verified
16499,sainthenrisainteanne,PLQ,group,2018-10-01,2022-08-28,election,dissolution,members_historic_qc,verified
421,montroyal,PLQ,group,2007-03-26,2008-11-05,election,dissolution,members_historic_qc,verified
421,montroyal,PLQ,group,2008-12-08,2012-08-01,election,dissolution,members_historic_qc,verified
421,montroyal,PLQ,group,2012-09-04,2014-03-05,election,dissolution,members_historic_qc,verified
421,montroyal,PLQ,group,2014-04-07,2018-08-23,election,dissolution,members_historic_qc,verified
421,montroyaloutremont,PLQ,group,2018-10-01,2022-08-28,election,dissolution,members_historic_qc,verified
17947,ilesdelamadeleine,PQ,group,2018-10-01,2022-08-28,election,dissolution,members_historic_qc,verified
17947,ilesdelamadeleine,PQ,group,2022-10-03,2026-10-05,election,dissolution,members_historic_qc,verified
1767,ilesdelamadeleine,PQ,group,1998-11-30,2003-03-12,election,dissolution,members_historic_qc,verified
1767,ilesdelamadeleine,PQ,group,2003-04-14,2007-02-21,election,dissolution,members_historic_qc,verified
1767,ilesdelamadeleine,PQ,group,2007-03-26,2008-11-05,election,dissolution,members_historic_qc,verified
17905,vanierlesrivieres,CAQ,group,2018-10-01,2022-08-28,election,dissolution,members_historic_qc,verified
17905,vanierlesrivieres,CAQ,group,2022-10-03,2026-10-05,election,dissolution,members_historic_qc,verified
471,vimont,PLQ,group,2003-04-14,2007-02-21,election,dissolution,members_historic_qc,verified
471,vimont,PLQ,group,2007-03-26,2008-11-05,election,dissolution,members_historic_qc,verified
471,vimont,PLQ,group,2008-12-08,2012-08-01,election,dissolution,members_historic_qc,verified
5797,laporte,PLQ,group,2003-04-14,2007-02-21,election,dissolution,members_historic_qc,verified
900016,champlain,ADQ,group,2007-03-26,2008-11-05,election,dissolution,members_historic_qc,verified
900016,champlain,PLQ,group,2014-04-07,2018-08-23,election,dissolution,members_historic_qc,verified
509,nicoletyamaska,PQ,group,2008-12-08,2011-06-06,election,defection,members_historic_qc,verified
17859,richmond,CAQ,group,2018-10-01,2022-08-28,election,dissolution,members_historic_qc,verified
17859,richmond,CAQ,group,2022-10-03,2026-10-05,election,dissolution,members_historic_qc,verified
531,arthabaska,PLQ,group,2003-04-14,2007-02-21,election,dissolution,members_historic_qc,verified
531,arthabaska,PLQ,group,2008-12-08,2012-08-01,election,dissolution,members_historic_qc,verified
565,outremont,PLQ,group,2007-03-26,2008-11-05,election,dissolution,members_historic_qc,verified
565,outremont,PLQ,group,2008-12-08,2012-08-01,election,dissolution,members_historic_qc,verified
565,outremont,PLQ,group,2012-09-04,2013-09-13,election,resignation,members_historic_qc+assnat_depcir,verified
1833,vanier,PQ,group,1994-09-12,1998-11-25,election,dissolution,members_historic_qc,verified
1833,vanier,PQ,group,1998-11-30,2003-03-12,election,dissolution,members_historic_qc,verified
1841,arthabaska,PQ,group,1994-09-12,1998-11-25,election,dissolution,members_historic_qc,verified
1841,arthabaska,PQ,group,1998-11-30,2003-03-12,election,dissolution,members_historic_qc,verified
900008,berthier,PQ,group,1994-09-12,1998-11-25,election,dissolution,members_historic_qc,verified
900008,berthier,PQ,group,1998-11-30,2002-05-14,election,resignation,members_historic_qc+assnat_depcir,verified
