seat_id,name,date_start,date_end
abitibiest,abitibiest,1973-01-01,
abitibiouest,abitibiouest,1973-01-01,
acadie,acadie,1973-01-01,
anjou,anjou,1973-01-01,
anjoulouisriel,anjoulouisriel,1973-01-01,
argenteuil,argenteuil,1973-01-01,
arthabaska,arthabaska,1973-01-01,
beaucenord,beaucenord,1973-01-01,
beaucesud,beaucesud,1973-01-01,
beauharnois,beauharnois,1973-01-01,
beauharnoishuntingdon,beauharnoishuntingdon,1973-01-01,
bellechasse,bellechasse,1973-01-01,
berthier,berthier,1973-01-01,
bertrand,bertrand,1973-01-01,
blainville,blainville,1973-01-01,
bonaventure,bonaventure,1973-01-01,
borduas,borduas,1973-01-01,
bourassa,bourassa,1973-01-01,
bourassasauve,bourassasauve,1973-01-01,
bourget,bourget,1973-01-01,
bromemissisquoi,bromemissisquoi,1973-01-01,
camillelaurin,camillelaurin,1973-01-01,
chambly,chambly,1973-01-01,
champlain,champlain,1973-01-01,
chapleau,chapleau,1973-01-01,
charlesbourg,charlesbourg,1973-01-01,
charlevoix,charlevoix,1973-01-01,
charlevoixcotedebeaupre,charlevoixcotedebeaupre,1973-01-01,
chateauguay,chateauguay,1973-01-01,
chauveau,chauveau,1973-01-01,
chicoutimi,chicoutimi,1973-01-01,
chomedey,chomedey,1973-01-01,
chutesdelachaudiere,chutesdelachaudiere,1973-01-01,
cotedusud,cotedusud,1973-01-01,
cremazie,cremazie,1973-01-01,
darcymcgee,darcymcgee,1973-01-01,
deuxmontagnes,deuxmontagnes,1973-01-01,
drummond,drummond,1973-01-01,
drummondboisfrancs,drummondboisfrancs,1973-01-01,
dubuc,dubuc,1973-01-01,
duplessis,duplessis,1973-01-01,
fabre,fabre,1973-01-01,
frontenac,frontenac,1973-01-01,
gaspe,gaspe,1973-01-01,
gatineau,gatineau,1973-01-01,
gouin,gouin,1973-01-01,
granby,granby,1973-01-01,
groulx,groulx,1973-01-01,
hochelagamaisonneuve,hochelagamaisonneuve,1973-01-01,
hull,hull,1973-01-01,
huntingdon,huntingdon,1973-01-01,
iberville,iberville,1973-01-01,
ilesdelamadeleine,ilesdelamadeleine,1973-01-01,
jacquescartier,jacquescartier,1973-01-01,
jeanlesage,jeanlesage,1973-01-01,
jeannemance,jeannemance,1973-01-01,
jeannemanceviger,jeannemanceviger,1973-01-01,
jeantalon,jeantalon,1973-01-01,
johnson,johnson,1973-01-01,
joliette,joliette,1973-01-01,
jonquiere,jonquiere,1973-01-01,
kamouraskatemiscouata,kamouraskatemiscouata,1973-01-01,
labelle,labelle,1973-01-01,
lacadie,lacadie,1973-01-01,
lacsaintjean,lacsaintjean,1973-01-01,
lafontaine,lafontaine,1973-01-01,
lapeltrie,lapeltrie,1973-01-01,
lapiniere,lapiniere,1973-01-01,
laporte,laporte,1973-01-01,
laprairie,laprairie,1973-01-01,
lassomption,lassomption,1973-01-01,
laurier,laurier,1973-01-01,
laurierdorion,laurierdorion,1973-01-01,
lavaldesrapides,lavaldesrapides,1973-01-01,
laviolette,laviolette,1973-01-01,
laviolettesaintmaurice,laviolettesaintmaurice,1973-01-01,
lesplaines,lesplaines,1973-01-01,
levis,levis,1973-01-01,
limoilou,limoilou,1973-01-01,
lotbiniere,lotbiniere,1973-01-01,
lotbinierefrontenac,lotbinierefrontenac,1973-01-01,
louishebert,louishebert,1973-01-01,
margueritebourgeoys,margueritebourgeoys,1973-01-01,
margueritedyouville,margueritedyouville,1973-01-01,
marievictorin,marievictorin,1973-01-01,
marquette,marquette,1973-01-01,
maskinonge,maskinonge,1973-01-01,
masson,masson,1973-01-01,
matane,matane,1973-01-01,
matanematapedia,matanematapedia,1973-01-01,2025-05-28
matanematapedia,Matane-Matapédia-Mitis,2025-05-29,
matapedia,matapedia,1973-01-01,
mauricerichard,mauricerichard,1973-01-01,
megantic,megantic,1973-01-01,
meganticcompton,meganticcompton,1973-01-01,
mercier,mercier,1973-01-01,
milleiles,milleiles,1973-01-01,
mirabel,mirabel,1973-01-01,
montarville,montarville,1973-01-01,
montmagnylislet,montmagnylislet,1973-01-01,
montmorency,montmorency,1973-01-01,
montroyal,montroyal,1973-01-01,
montroyaloutremont,montroyaloutremont,1973-01-01,
nelligan,nelligan,1973-01-01,
nicoletbecancour,nicoletbecancour,1973-01-01,
nicoletyamaska,nicoletyamaska,1973-01-01,
notredamedegrace,notredamedegrace,1973-01-01,
orford,orford,1973-01-01,
outremont,outremont,1973-01-01,
papineau,papineau,1973-01-01,
pointeauxtrembles,pointeauxtrembles,1973-01-01,
pontiac,pontiac,1973-01-01,
portneuf,portneuf,1973-01-01,
prevost,prevost,1973-01-01,
renelevesque,renelevesque,1973-01-01,
repentigny,repentigny,1973-01-01,
richelieu,richelieu,1973-01-01,
richmond,richmond,1973-01-01,
rimouski,rimouski,1973-01-01,
riviereduloup,riviereduloup,1973-01-01,
rivieredulouptemiscouata,rivieredulouptemiscouata,1973-01-01,
robertbaldwin,robertbaldwin,1973-01-01,
roberval,roberval,1973-01-01,
rosemont,rosemont,1973-01-01,
rousseau,rousseau,1973-01-01,
rouynnorandatemiscamingue,rouynnorandatemiscamingue,1973-01-01,
saguenay,saguenay,1973-01-01,
saintemariesaintjacques,saintemariesaintjacques,1973-01-01,
sainterose,sainterose,1973-01-01,
saintfrancois,saintfrancois,1973-01-01,
sainthenrisainteanne,sainthenrisainteanne,1973-01-01,
sainthyacinthe,sainthyacinthe,1973-01-01,
saintjean,saintjean,1973-01-01,
saintjerome,saintjerome,1973-01-01,
saintlaurent,saintlaurent,1973-01-01,
saintmaurice,saintmaurice,1973-01-01,
salaberrysoulanges,salaberrysoulanges,1973-01-01,
sanguinet,sanguinet,1973-01-01,
sauve,sauve,1973-01-01,
shefford,shefford,1973-01-01,
sherbrooke,sherbrooke,1973-01-01,
soulanges,soulanges,1973-01-01,
taillon,taillon,1973-01-01,
taschereau,taschereau,1973-01-01,
terrebonne,terrebonne,1973-01-01,
troisrivieres,troisrivieres,1973-01-01,
ungava,ungava,1973-01-01,
vachon,vachon,1973-01-01,
vanier,vanier,1973-01-01,
vanierlesrivieres,vanierlesrivieres,1973-01-01,
vaudreuil,vaudreuil,1973-01-01,
vercheres,vercheres,1973-01-01,
verdun,verdun,1973-01-01,
viau,viau,1973-01-01,
viger,viger,1973-01-01,
vimont,vimont,1973-01-01,
westmountsaintlouis,westmountsaintlouis,1973-01-01,
